CIENCIAS AGROPECUARIAS |  |  | 
 |  | LIC.  EN DIETÉTICA Y NUTRICIÓN                                                                                                                  | 
 |  | LIC.  EN NUTRICIÓN                                                                                                                           | 
 |  | LIC.  EN NUTRICIÓN HUMANA                                                                                                                     | 
 |  | LIC.  EN NUTRICIÓN HUMANA Y DIETÉTICA                                                                                                         | 
 |  | LIC.  EN NUTRICIÓN Y BIENESTAR INTEGRAL                                                                                                        | 
 |  | LIC.  EN NUTRICIÓN Y CIENCIA DE LOS ALIMENTOS                                                                                                 | 
 |  | LIC.  EN NUTRICIÓN Y DIETÉTICA                                                                                                                  | 
 |  | LIC.  EN NUTRICIÓN Y TECNOLOGÍA DE ALIMENTOS                                                                                                 | 
 |  | LIC.  EN NUTRIOLOGÍA                                                                                                                           | 
 |  | TSU. EN NUTRICIÓN Y ALIMENTACIÓN HUMANA                                                                                                     | 
 | ODONTOLOGÍA |  | 
 |  | CIRUJANO DENTISTA                                                                                                                        | 
 |  | LIC.  EN CIRUGÍA DENTAL                                                                                                                         | 
 |  | LIC.  EN ESTOMATOLOGÍA                                                                                                                        | 
 |  | LIC.  EN ODONTOLOGÍA                                                                                                                           | 
 |  | MÉDICO CIRUJANO DENTISTA                                                                                                                     | 
 |  | MÉDICO ESTOMATÓLOGO                                                                                                                       | 
 |  | PA. EN CLÍNICA DENTAL                                                                                                                          | 
 |  | TSU. ASISTENTE DENTAL                                                                                                                         | 
 |  | TSU. EN HIGIENE BUCAL                                                                                                                         | 
 |  | TSU. EN LABORATORIO DE PRÓTESIS DENTAL                                                                                                       | 
 |  | TSU. EN PRÓTESIS DENTAL                                                                                                                       | 
 |  | TSU. EN TECNOLOGÍA DENTAL                                                                                                                     | 
 |  | TSU. LABORATORISTA DENTAL                                                                                                                    | 
 |  | TSU. RADIÓLOGO BUCAL                                                                                                                         | 
 | OPTOMETRÍA |  | 
 |  | LIC.  EN OPTOMETRÍA                                                                                                                           | 
 |  | TSU. EN OPTOMETRÍA                                                                                                                            | 
 | QUÍMICA DE LA SALUD |  | 
 |  | LIC.  EN ANÁLISIS QUÍMICO BIOLÓGICOS                                                                                                           | 
 |  | LIC.  EN CIENCIAS FARMACÉUTICAS                                                                                                               | 
 |  | LIC.  EN FARMACIA                                                                                                                              | 
 |  | LIC.  EN QUÍMICA CLÍNICA                                                                                                                        | 
 |  | LIC.  EN QUÍMICA FARMACÉUTICA BIOLÓGICA                                                                                                      | 
 |  | LIC.  EN QUÍMICA FARMACOBIOLÓGICA                                                                                                           | 
 |  | LIC.  EN QUÍMICO CLÍNICO                                                                                                                       | 
 |  | LIC.  EN QUÍMICO FARMACO BIÓLOGO                                                                                                             | 
 |  | PA. EN LABORATORIO DE ANÁLISIS CLÍNICOS                                                                                                       | 
 |  | QUÍMICO BACTERIÓLOGO PARASITÓLOGO                                                                                                        | 
 |  | QUÍMICO BIÓLOGO                                                                                                                             | 
 |  | QUÍMICO BIÓLOGO CLÍNICO                                                                                                                      | 
 |  | QUÍMICO BIÓLOGO PARASITÓLOGO                                                                                                               | 
 |  | QUÍMICO CLÍNICO BIÓLOGO                                                                                                                      | 
 |  | QUÍMICO FARMACÉUTICO BIÓLOGO                                                                                                               | 
 |  | QUÍMICO FARMACÉUTICO INDUSTRIAL                                                                                                            | 
 |  | QUÍMICO FARMACOBIÓLOGO                                                                                                                    | 
 |  | TSU. EN LABORATORIO QUÍMICO FARMACOBIÓLOGO                                                                                                | 
 | RADIOLOGÍA |  | 
 |  | TSU. EN RADIOLOGÍA                                                                                                                            | 
 | SALUD PÚBLIC.A |  | 
 |  | LIC.  EN PROMOCIÓN DE LA SALUD                                                                                                               | 
 |  | LIC.  EN SALUD COMUNITARIA                                                                                                                    | 
 |  | LIC.  EN SALUD PÚBLIC.A                                                                                                                          | 
 | SEGURIDAD E HIGIENE |  | 
 |  | ING.  EN SEGURIDAD E HIGIENE INDUSTRIAL                                                                                                       | 
 |  | ING.  EN SEGURIDAD E HIGIENE OCUPA.CIONAL                                                                                                     | 
 |  | LIC.  EN SEGURIDAD E HIGIENE INDUSTRIAL                                                                                                        | 
 |  | LIC.  EN SEGURIDAD  SALUD Y MEDIO AMBIENTE                                                                                                   | 
 |  | TSU. EN SEGURIDAD  HIGIENE Y MEDIO AMBIENTE                                                                                                  | 
 | TERAPIA |  | 
 |  | LIC.  EN FISIOTERAPIA                                                                                                                            | 
 |  | LIC.  EN NEUROLING.ÜÍSTICA                                                                                                                      | 
 |  | LIC.  EN PROGRAMACION NEUROLING.ÜÍSTICA EN SALUD Y EDUCACIÓN                                                                               | 
 |  | LIC.  EN QUIROPRÁCTICA                                                                                                                         | 
 |  | LIC.  EN RECREACIÓN                                                                                                                            | 
 |  | LIC.  EN REHABILITACIÓN                                                                                                                         | 
 |  | LIC.  EN TERAPIA DE AUDICIÓN  VOZ Y LENGUAJE ORAL Y ESCRITO                                                                                    | 
 |  | LIC.  EN TERAPIA DE LA COMUNICACIÓN HUMANA                                                                                                  | 
 |  | LIC.  EN TERAPIA DEL LENGUAJE                                                                                                                   | 
 |  | LIC.  EN TERAPIA FÍSICA                                                                                                                         | 
 |  | LIC.  EN TERAPIA FÍSICA Y REHABILITACIÓN                                                                                                        | 
 |  | LIC.  EN TERAPIA OCUPA.CIONAL                                                                                                                  | 
 |  | LIC.  TERAPISTA EN COMUNICACIÓN HUMANA                                                                                                     | 
 |  | PA. EN REHABILITACIÓN FÍSICA                                                                                                                  | 
 |  | TSU. EN AUDIOMETRÍA Y REHABILITACIÓN AUDITIVA                                                                                                 | 
 |  | TSU. EN FISIOTERAPIA                                                                                                                           | 
 |  | TSU. EN ORTESISTA Y PROTESISTA                                                                                                                 | 
 |  | TSU. EN TERAPIA FÍSICA Y REHABILITACIÓN                                                                                                        | 
 |  | TSU. EN TERAPIA OCUPA.CIONAL                                                                                                                  | 
 |  |  | 
CIENCIAS NATURALES Y EXACTAS |  |  | 
 | BIOLOGÍA |  | 
 |  | BIÓLOGO                                                                                                                                      | 
 |  | BIÓLOGO ACUACULTOR                                                                                                                          | 
 |  | BIÓLOGO MARINO                                                                                                                              | 
 |  | BIÓLOGO PESQUERO                                                                                                                           | 
 |  | LIC.  EN BIOLOGÍA                                                                                                                               | 
 |  | LIC.  EN BIOLOGÍA EN MANEJO DE RECURSOS NATURALES                                                                                          | 
 |  | LIC.  EN BIOLOGÍA EN PRODUCCIÓN ACUÍCOLA                                                                                                     | 
 |  | LIC.  EN BIOLOGÍA EN: MARINA                                                                                                                   | 
 |  | LIC.  EN BIOLOGÍA EXPERIMENTAL                                                                                                                 | 
 |  | LIC.  EN BIOLOGÍA MARINA                                                                                                                       | 
 |  | LIC.  EN BIOLOGÍA MOLECULAR                                                                                                                   | 
 |  | LIC.  EN CIENCIAS BIOLÓGICAS                                                                                                                   | 
 |  | LIC.  EN CIENCIAS EN BIOLOGÍA                                                                                                                   | 
 |  | LIC.  EN HIDROBIOLOGÍA                                                                                                                         | 
 | BIOQUÍMICA |  | 
 |  | BIOQUÍMICO                                                                                                                                   | 
 |  | LIC.  EN BIOQUÍMICA                                                                                                                             | 
 |  | LIC.  EN BIOQUÍMICA CLÍNICA                                                                                                                     | 
 | CIENCIAS DEL MAR |  | 
 |  | LIC.  EN CIENCIAS MARÍTIMAS                                                                                                                    | 
 |  | LIC.  EN OCEANOLOGÍA                                                                                                                          | 
 |  | OCEANÓLOGO                                                                                                                                  | 
 | ECOLOGÍA |  | 
 |  | LIC.  EN CIENCIAS AMBIENTALES                                                                                                                 | 
 |  | LIC.  EN DESARROLLO SUSTENTABLE                                                                                                              | 
 |  | LIC.  EN ECOLOGÍA                                                                                                                              | 
 |  | LIC.  EN ECOLOGÍA MARINA                                                                                                                       | 
 |  | LIC.  EN GESTIÓN AMBIENTAL                                                                                                                     | 
 |  | LIC.  EN MANEJO DE RECURSOS NATURALES                                                                                                       | 
 | FÍSICA |  | 
 |  | FÍSICO                                                                                                                                        | 
 |  | FÍSICO MATEMÁTICO                                                                                                                            | 
 |  | LIC.  EN BIOFÍSICA                                                                                                                               | 
 |  | LIC.  EN CIENCIAS ATMOSFÉRICAS                                                                                                                | 
 |  | LIC.  EN CIENCIAS EN FÍSICA                                                                                                                     | 
 |  | LIC.  EN CIENCIAS GENÓMICAS                                                                                                                   | 
 |  | LIC.  EN FÍSICA                                                                                                                                 | 
 |  | LIC.  EN FÍSICA APLIC.ADA                                                                                                                         | 
 |  | LIC.  EN FÍSICA Y MATEMÁTICAS                                                                                                                   | 
 |  | LIC.  EN FÍSICA Y TECNOLOGÍA AVANZADA                                                                                                         | 
 |  | LIC.  EN NANOTECNOLOGÍA E INGENERÍA MOLECULAR                                                                                             | 
 | GEOLOGÍA |  | 
 |  | GEÓLOGO                                                                                                                                      | 
 |  | LIC.  EN GEOLOGÍA                                                                                                                               | 
 | MATEMÁTICAS |  | 
 |  | ACTUARIO                                                                                                                                     | 
 |  | ING.  MATEMÁTICO                                                                                                                               | 
 |  | LIC.  EN ACTUARÍA                                                                                                                                | 
 |  | LIC.  EN ACTUARÍA FINANCIERA                                                                                                                   | 
 |  | LIC.  EN CIENCIAS EN MATEMÁTICAS                                                                                                              | 
 |  | LIC.  EN ESTADÍSTICA                                                                                                                            | 
 |  | LIC.  EN MATEMÁTICA EDUCATIVA                                                                                                                 | 
 |  | LIC.  EN MATEMÁTICAS                                                                                                                         | 
 |  | LIC.  EN MATEMÁTICAS APLIC.ADAS                                                                                                               | 
 |  | LIC.  EN MATEMÁTICAS APLIC.ADAS Y COMPUTACIÓN                                                                                               | 
 |  | LIC.  EN MATEMÁTICAS Y ECONOMÍA                                                                                                               | 
 |  | MATEMÁTICO                                                                                                                                   | 
 |  | PROFESOR EN MATEMÁTICAS                                                                                                                    | 
 | QUÍMICA |  | 
 |  | LIC.  EN CIENCIAS QUÍMICAS                                                                                                                    | 
 |  | LIC.  EN QUÍMICA                                                                                                                                | 
 |  | QUÍMICO                                                                                                                                      | 
 |  | TSU. EN QUÍMICA DE MATERIALES                                                                                                                 | 
 |  |  | 
CIENCIAS SOCIALES Y ADMINISTRATIVAS |  |  | 
 | ADMINISTRACIÓN |  | 
 |  | BACHELOR OF BUSINESS ADMINISTRATION                                                                                                       | 
 |  | BACHELOR OF FINANCIAL ADMINISTRATION                                                                                                       | 
 |  | LIC.  EN ADMINISTRACIÓN                                                                                                        | 
 |  | LIC.  EN ADMINISTRACIÓN ADUANAL                                                                                                              | 
 |  | LIC.  EN ADMINISTRACIÓN ADUANERA                                                                                                             | 
 |  | LIC.  EN ADMINISTRACIÓN AGROTECNOLÓGICA                                                                                                     | 
 |  | LIC.  EN ADMINISTRACIÓN BANCARIA                                                                                                             | 
 |  | LIC.  EN ADMINISTRACIÓN DE ADUANAS                                                                                                           | 
 |  | LIC.  EN ADMINISTRACIÓN DE AGRONEGOCIOS                                                                                                    | 
 |  | LIC.  EN ADMINISTRACIÓN DE BIENES RAÍCES                                                                                                      | 
 |  | LIC.  EN ADMINISTRACIÓN DE EMPRESAS                                                                                           | 
 |  | LIC.  EN ADMINISTRACIÓN DE EMPRESAS AGROPECUARIAS                                                                                         | 
 |  | LIC.  EN ADMINISTRACIÓN DE EMPRESAS COMERCIALES                                                                                           | 
 |  | LIC.  EN ADMINISTRACIÓN DE EMPRESAS ECO-TURÍSTICAS                                                                                         | 
 |  | LIC.  EN ADMINISTRACIÓN DE EMPRESAS EN COMERCIALIZACIÓN                                                                                    | 
 |  | LIC.  EN ADMINISTRACIÓN DE EMPRESAS EN COMERCIO INTERNACIONAL                                                                             | 
 |  | LIC.  EN ADMINISTRACIÓN DE EMPRESAS EN MERCADOTECNIA                                                                                      | 
 |  | LIC.  EN ADMINISTRACIÓN DE EMPRESAS EN PRODUCCIÓN                                                                                          | 
 |  | LIC.  EN ADMINISTRACIÓN DE EMPRESAS GASTRONÓMICAS                                                                                         | 
 |  | LIC.  EN ADMINISTRACIÓN DE EMPRESAS MULTICULTURAL                                                                                          | 
 |  | LIC.  EN ADMINISTRACIÓN DE EMPRESAS TURÍSTICAS                                                                                      | 
 |  | LIC.  EN ADMINISTRACIÓN DE EMPRESAS Y CALIDAD TOTAL                                                                                         | 
 |  | LIC.  EN ADMINISTRACIÓN DE EMPRESAS Y MERCADOTECNIA                                                                                        | 
 |  | LIC.  EN ADMINISTRACIÓN DE EMPRESAS Y SISTEMAS                                                                                              | 
 |  | LIC.  EN ADMINISTRACIÓN DE HOTELES Y RESTAURANTES                                                                                            | 
 |  | LIC.  EN ADMINISTRACIÓN DE INSTITUCIONES                                                                                                      | 
 |  | LIC.  EN ADMINISTRACIÓN DE INSTITUCIONES EDUCATIVAS                                                                                         | 
 |  | LIC.  EN ADMINISTRACIÓN DE LA CALIDAD Y PRODUCTIVIDAD                                                                                        | 
 |  | LIC.  EN ADMINISTRACIÓN DE LA HOSPITALIDAD                                                                                                   | 
 |  | LIC.  EN ADMINISTRACIÓN DE LA MERCADOTECNIA                                                                                                  | 
 |  | LIC.  EN ADMINISTRACIÓN DE MERCADOTECNIA                                                                                                     | 
 |  | LIC.  EN ADMINISTRACIÓN DE NEGOCIOS                                                                                                           | 
 |  | LIC.  EN ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES                                                                                        | 
 |  | LIC.  EN ADMINISTRACIÓN DE PEQUEÑAS Y MEDIANAS EMPRESAS                                                                                   | 
 |  | LIC.  EN ADMINISTRACIÓN DE RECURSOS HUMANOS                                                                                             | 
 |  | LIC.  EN ADMINISTRACIÓN DE RECURSOS MARINOS                                                                                                | 
 |  | LIC.  EN ADMINISTRACIÓN DE RECURSOS NATURALES                                                                                              | 
 |  | LIC.  EN ADMINISTRACIÓN DE RECURSOS TURÍSTICOS                                                                                              | 
 |  | LIC.  EN ADMINISTRACIÓN DE RESTAURANTES                                                                                                     | 
 |  | LIC.  EN ADMINISTRACIÓN DE SERVICIOS ALIMENTARIOS                                                                                           | 
